image_id;variant_id;product_id;sort_order;path
KD-PD-9975__v001__img2;KD-PD-9975__v001;KD-PD-9975;2;/assets/images/69958bb93c88e_big.jpg
KD-PD-9416__v001__img1;KD-PD-9416__v001;KD-PD-9416;1;/assets/images/KD-PD-9416.png
KD-PD-9417__v001__img1;KD-PD-9417__v001;KD-PD-9417;1;/assets/images/KD-PD-9417.png
KD-PD-10913__v001__img1;KD-PD-10913__v001;KD-PD-10913;1;/assets/images/6a85ae21c78e0_big.jpg
KD-PD-10911__v001__img1;KD-PD-10911__v001;KD-PD-10911;1;/assets/images/KD-PD-10911.png
KD-PD-10911__v002__img1;KD-PD-10911__v002;KD-PD-10911;1;/assets/images/KD-PD-10911.png
KD-PD-10925__v001__img1;KD-PD-10925__v001;KD-PD-10925;1;/assets/images/6a85afc487304_big.jpg
KD-PD-11141__v001__img1;KD-PD-11141__v001;KD-PD-11141;1;/assets/images/69df9867a661d_big.jpg
KD-PD-10928__v001__img1;KD-PD-10928__v001;KD-PD-10928;1;/assets/images/KD-PD-10928.png
KD-PD-10917__v001__img1;KD-PD-10917__v001;KD-PD-10917;1;/assets/images/KD-PD-10917.png
KD-PD-10915__v001__img1;KD-PD-10915__v001;KD-PD-10915;1;/assets/images/KD-PD-10915.png
KD-PD-10924__v001__img1;KD-PD-10924__v001;KD-PD-10924;1;/assets/images/KD-PD-10924.png
KD-PD-10927__v001__img1;KD-PD-10927__v001;KD-PD-10927;1;/assets/images/KD-PD-10927.png
KD-PD-10926__v001__img1;KD-PD-10926__v001;KD-PD-10926;1;/assets/images/KD-PD-10926.png
KD-PD-10918__v001__img1;KD-PD-10918__v001;KD-PD-10918;1;/assets/images/KD-PD-10918.png
KD-PD-10919__v001__img1;KD-PD-10919__v001;KD-PD-10919;1;/assets/images/KD-PD-10919.png
KD-PD-10920__v001__img1;KD-PD-10920__v001;KD-PD-10920;1;/assets/images/6a85bcecc09c8_big.jpg
KD-PD-10921__v001__img1;KD-PD-10921__v001;KD-PD-10921;1;/assets/images/6a85bcfa2f399_big.jpg
KD-PD-10922__v001__img1;KD-PD-10922__v001;KD-PD-10922;1;/assets/images/KD-PD-10922.png
KD-PD-10923__v001__img1;KD-PD-10923__v001;KD-PD-10923;1;/assets/images/6a85bf6fe9fa3_big.jpg
KD-PD-10944__v001__img1;KD-PD-10944__v001;KD-PD-10944;1;/assets/images/698deddc79da9_big.JPG
KD-PD-11006__v001__img1;KD-PD-11006__v001;KD-PD-11006;1;/assets/images/69f218d992ea2_big.jpg
KD-PD-10945__v001__img1;KD-PD-10945__v001;KD-PD-10945;1;/assets/images/698decfd8e311_big.jpg
KD-PD-10590__v001__img1;KD-PD-10590__v001;KD-PD-10590;1;/assets/images/698deb44c83a5_big.jpg
KD-PD-10591__v001__img1;KD-PD-10591__v001;KD-PD-10591;1;/assets/images/KD-PD-10591.png
KD-PD-10950__v001__img1;KD-PD-10950__v001;KD-PD-10950;1;/assets/images/KD-PD-10950.png
KD-PD-10459__v001__img1;KD-PD-10459__v001;KD-PD-10459;1;/assets/images/KD-PD-10459.png
KD-PD-10459__v002__img1;KD-PD-10459__v002;KD-PD-10459;1;/assets/images/KD-PD-10459.png
KD-PD-10946__v001__img1;KD-PD-10946__v001;KD-PD-10946;1;/assets/images/KD-PD-10946.png
KD-PD-10947__v001__img1;KD-PD-10947__v001;KD-PD-10947;1;/assets/images/KD-PD-10947.png
KD-PD-10948__v001__img1;KD-PD-10948__v001;KD-PD-10948;1;/assets/images/KD-PD-10948.png
KD-PD-10951__v001__img1;KD-PD-10951__v001;KD-PD-10951;1;/assets/images/KD-PD-10951.png
KD-PD-10949__v001__img1;KD-PD-10949__v001;KD-PD-10949;1;/assets/images/KD-PD-10949.png
KD-PD-10287__v001__img1;KD-PD-10287__v001;KD-PD-10287;1;/assets/images/68da38fa3c974_big.jpg
