variant_id;product_id;characteristic_code;value;normalized_value;numeric_value
KD-PD-2519__v002;KD-PD-2519;aroma;Сандал и шалфей;сандал и шалфей;
KD-PD-2519__v002;KD-PD-2519;price;4990;4990;4990
KD-PD-2519__v002;KD-PD-2519;height;10 см;10 см;
KD-PD-2519__v002;KD-PD-2519;composition;Воск;воск;
KD-PD-2519__v002;KD-PD-2519;color;Белый;белый;
KD-PD-2519__v002;KD-PD-2519;color;Золотой;золотой;
KD-PD-11417__v001;KD-PD-11417;category;Посуда и сервировка;посуда и сервировка;
KD-PD-11417__v001;KD-PD-11417;subcategory;Тарелки;тарелки;
KD-PD-11417__v001;KD-PD-11417;collection;Овация;овация;
KD-PD-11417__v001;KD-PD-11417;material;Фарфор;фарфор;
KD-PD-11417__v001;KD-PD-11417;size;30 см;30 см;
KD-PD-11417__v001;KD-PD-11417;price;1794;1794;1794
KD-PD-11417__v001;KD-PD-11417;old_price;2990;2990;2990
KD-PD-11417__v001;KD-PD-11417;diameter;30 см;30 см;
KD-PD-11417__v001;KD-PD-11417;composition;100% костяной фарфор;100% костяной фарфор;
KD-PD-11417__v001;KD-PD-11417;color;Белый;белый;
KD-PD-11415__v001;KD-PD-11415;category;Посуда и сервировка;посуда и сервировка;
KD-PD-11415__v001;KD-PD-11415;subcategory;Тарелки;тарелки;
KD-PD-11415__v001;KD-PD-11415;collection;Овация;овация;
KD-PD-11415__v001;KD-PD-11415;material;Фарфор;фарфор;
KD-PD-11415__v001;KD-PD-11415;size;19 см;19 см;
KD-PD-11415__v001;KD-PD-11415;price;894;894;894
KD-PD-11415__v001;KD-PD-11415;old_price;1490;1490;1490
KD-PD-11415__v001;KD-PD-11415;diameter;19 см;19 см;
